id,date,category,address,zip,latitude,longitude
6814039,2009-02-07 00:00:00,TRAFFIC,La Grande Av & Brazil Av,,37.72026,-122.42550
6815133,2009-02-07 00:00:00,PROACTIVE POLICING,9Th Av & Irving St,94122,37.76404,-122.46630
6815175,2009-02-07 00:00:00,PROACTIVE POLICING,100 BLOCK 100 Ivy St,94102,37.77800,-122.41900
6814919,2009-02-07 00:00:00,PROACTIVE POLICING,Elm St & Polk St,94102,37.78170,-122.41890
6813705,2009-02-07 00:00:00,PROACTIVE POLICING,100 BLOCK Taylor St,94102,37.78325,-122.41080
6814927,2009-02-07 00:00:00,TRAFFIC,100 BLOCK Mcallister St,94102,37.78097,-122.41390
6814931,2009-02-07 00:00:00,TRAFFIC,Taraval St & 32Nd Av,94116,37.74248,-122.48970
6815131,2009-02-07 00:00:00,PROACTIVE POLICING,Civic Center,,37.78421,-122.42270
6815135,2009-02-07 00:00:00,PROACTIVE POLICING,Powell St,,37.79655,-122.41010
6813603,2009-02-07 00:00:00,QUALITY OF LIFE,100 BLOCK Ramsell St,94132,37.71308,-122.46600
6815137,2009-02-07 00:00:00,PROACTIVE POLICING,0 BLOCK Bannecker Way,94102,37.77729,-122.42870
6815140,2009-02-07 00:00:00,TRAFFIC,1800 BLOCK 22Nd Av,94122,37.75389,-122.47950
6815142,2009-02-07 00:00:00,OTHER,1800 BLOCK Folsom St,94103,37.76783,-122.41610
6814476,2009-02-07 00:00:00,PROACTIVE POLICING,200 BLOCK Eddy St,94102,37.78417,-122.41100
6815144,2009-02-07 00:00:00,TRAFFIC,1700 BLOCK Palou Av,94124,37.73507,-122.39280
6815146,2009-02-07 00:00:00,OTHER,200 BLOCK Evelyn Way,94127,37.74287,-122.45070
6813785,2009-02-07 00:00:00,OTHER,17Th St & South Van Ness Av,94110,37.76356,-122.41730
6813797,2009-02-07 00:00:00,TRAFFIC,Larkin St & Grove St,94102,37.77866,-122.41660
6813788,2009-02-07 00:00:00,QUALITY OF LIFE,500 BLOCK Geary St,94102,37.78698,-122.41160
6815178,2009-02-07 00:00:00,PROACTIVE POLICING,25Th St & Bryant St,94110,37.75122,-122.40900
6814042,2009-02-07 00:00:00,TRAFFIC,San Bruno Av & Woolsey St,,37.72531,-122.40270
6815179,2009-02-07 00:00:00,TRAFFIC,1300 BLOCK 40Th Av,94122,37.76237,-122.49940
6815182,2009-02-07 00:00:00,TRAFFIC,16Th St & Mission St,94103,37.76505,-122.41970
6814630,2009-02-07 00:00:00,TRAFFIC,200 BLOCK Presidio Av,94115,37.78995,-122.44730
6813259,2009-02-07 00:00:00,PROACTIVE POLICING,4Th St & Townsend St,94107,37.77709,-122.39500
6813260,2009-02-07 00:00:00,QUALITY OF LIFE,2500 BLOCK 29Th Av,94116,37.74073,-122.48630
6813261,2009-02-07 00:00:00,TRAFFIC,Mission St & 3Rd St,94103,37.78627,-122.40200
6813262,2009-02-07 00:00:00,TRAFFIC,200 BLOCK Columbus Av,94133,37.79714,-122.40560
6813263,2009-02-07 00:00:00,TRAFFIC,Mason St & Eddy St,94102,37.78438,-122.40930
6813264,2009-02-07 00:00:00,PROACTIVE POLICING,Westportal Station,,37.74097,-122.46590
6813265,2009-02-07 00:00:00,PROACTIVE POLICING,1100 BLOCK Market St,94102,37.78088,-122.41250
6813266,2009-02-07 00:00:00,PROACTIVE POLICING,500 BLOCK Howard "Club Nv",94105,37.78846,-122.39640
6813267,2009-02-07 00:00:00,QUALITY OF LIFE,300 BLOCK Arballo Dr,94132,37.72071,-122.48300
6813268,2009-02-07 00:00:00,TRAFFIC,20Th Av & Geary Blvd,94121,37.78029,-122.47940
6813269,2009-02-07 00:00:00,PROACTIVE POLICING,900 BLOCK 7Th St,94107,37.76987,-122.40010
6813270,2009-02-07 00:00:00,PROACTIVE POLICING,Powell Statation,,37.78430,-122.40780
