id,street,street_type,zip,address,latitude,longitude
206,Downey,St,94117,"206 Downey St, San Francisco, CA 94117, USA",37.76527,-122.446884
126,Cayuga,St,94112,"126 Cayuga Ave, San Francisco, CA 94112, USA",37.731208,-122.431301
1400,Anza,St,94118,"1400 Anza St, San Francisco, CA 94118, USA",37.7791625,-122.4631118
510,Jersey,St,94114,"510 Jersey St, San Francisco, CA 94114, USA",37.750571,-122.436792
1011,Kearny,St,94133,"1011 Kearny St, San Francisco, CA 94133, USA",37.7974082,-122.4053427
1940,Oakdale,Ave,94124,"1940 Oakdale Ave, San Francisco, CA 94124, USA",37.738542,-122.39646
92,Putnam,St,94110,"92 Putnam St, San Francisco, CA 94110, USA",37.738356,-122.411055
36,Agua,Way,94127,"36 Agua Way, San Francisco, CA 94127, USA",37.742344,-122.451859
295,Valdez,Ave,94127,"295 Valdez Ave, San Francisco, CA 94127, USA",37.732487,-122.456274
120,Ellert,St,94110,"120 Ellert St, San Francisco, CA 94110, USA",37.738187,-122.417452
945,Hyde,St,94109,"945 Hyde St, San Francisco, CA 94109, USA",37.789685,-122.417426
1259,12th,Ave,94122,"1259 12th Ave, San Francisco, CA 94122, USA",37.764602,-122.469902
183,Elmira,St,94124,"183 Elmira St, San Francisco, CA 94124, USA",37.734807,-122.403339
87,Wawona,St,94127,"87 Wawona St, San Francisco, CA 94127, USA",37.741596,-122.466358
1762,9th,Ave,94122,"1762 9th Ave, San Francisco, CA 94122, USA",37.755411,-122.465382
764,Arkansas,St,94107,"764 Arkansas St, San Francisco, CA 94107, USA",37.756462,-122.398196
243,Gennessee,St,94112,"243 Gennessee St, San Francisco, CA 94112, USA",37.73048,-122.451415
436,Clementina,St,94103,"436 Clementina St, San Francisco, CA 94103, USA",37.78012,-122.404936
457,Anderson,St,94110,"457 Anderson St, San Francisco, CA 94110, USA",37.737625,-122.415109
1432,Santiago,St,94116,"1432 Santiago St, San Francisco, CA 94116, USA",37.744854,-122.482891
1300,Steiner,St,94115,"1300 Steiner St, San Francisco, CA 94115, USA",37.7812624,-122.4340077
1367,Natoma,St,94115,"1367 Natoma St, San Francisco, CA 94103, USA",37.767321,-122.418263
2770,23rd,St,94110,"2770 23rd St, San Francisco, CA 94110, USA",37.754665,-122.407881
2100,32nd,Ave,94116,"2100 32nd Ave, San Francisco, CA 94116, USA",37.7479,-122.489714
1,Prague,St,94112,"1 Prague St, San Francisco, CA 94112, USA",37.721964,-122.424544
105,Saint Marys,Ave,94112,"105 St Marys Ave, San Francisco, CA 94112, USA",37.734419,-122.427759
811,Lyon,St,94115,"811 Lyon St, San Francisco, CA 94115, USA",37.778515,-122.44391
3674,16th,St,94114,"3674 16th St, San Francisco, CA 94114, USA",37.764408,-122.434726
200,Kenwood,Way,94127,"200 Kenwood Way, San Francisco, CA 94127, USA",37.728273,-122.462825
269,21st,Ave,94121,"269 21st Ave, San Francisco, CA 94121, USA",37.782756,-122.480956
1083,Portola,Dr,94127,"1083 Portola Dr, San Francisco, CA 94127, USA",37.740124,-122.458456
2279,26th,Ave,94116,"2279 26th Ave, San Francisco, CA 94116, USA",37.744991,-122.483681
271,Santa Rosa,Ave,94112,"271 Santa Rosa Ave, San Francisco, CA 94112, USA",37.728372,-122.439602
2640,Webster,St,94123,"2640 Webster St, San Francisco, CA 94123, USA",37.7950366,-122.4334137
711,40th,Ave,94121,"711 40th Ave, San Francisco, CA 94121, USA",37.775273,-122.500765
562,Central,Ave,94117,"562 Central Ave, San Francisco, CA 94117, USA",37.7749729,-122.4445698
487,Vallejo,St,,"487 Vallejo St, San Francisco, CA 94133, USA",37.7990492,-122.4054184
119,Alhambra,St,94123,"119 Alhambra St, San Francisco, CA 94123, USA",37.802122,-122.438118
254,20th,Ave,94121,"254 20th Ave, San Francisco, CA 94121, USA",37.783107,-122.479247
1530,47th,Ave,94122,"1530 47th Ave, San Francisco, CA 94122, USA",37.757897,-122.506495
122,Webster,St,94117,"122 Webster St, San Francisco, CA 94117, USA",37.7719406,-122.4287428
1021,Castro,St,94114,"1021 Castro St, San Francisco, CA 94114, USA",37.7530101,-122.4342937
2110,23rd,St,94107,"2110 23rd St, San Francisco, CA 94107, USA",37.754835,-122.401001
334,Lexington,St,94110,"334 Lexington St, San Francisco, CA 94110, USA",37.757941,-122.420633
860,Rhode Island,St,94107,"860 Rhode Island St, San Francisco, CA 94107, USA",37.758847,-122.402314
1426,39th,Ave,94122,"1426 39th Ave, San Francisco, CA 94122, USA",37.760215,-122.498057
1915,23rd,Ave,94116,"1915 23rd Ave, San Francisco, CA 94116, USA",37.751795,-122.480878
835,Kansas,St,94107,"835 Kansas St, San Francisco, CA 94107, USA",37.7591,-122.402686
1353,Stevenson,St,94103,"1353 Stevenson St, San Francisco, CA 94103, USA",37.770713,-122.421464
1266,34th,Ave,94122,"1266 34th Ave, San Francisco, CA 94122, USA",37.763492,-122.492914
175,Alma,St,94117,"175 Alma St, San Francisco, CA 94117, USA",37.7630648,-122.4506107
799,Faxon,Ave,94112,"799 Faxon Ave, San Francisco, CA 94112, USA",37.727462,-122.460164
1248,Mason,St,94108,"1248 Mason St, San Francisco, CA 94108, USA",37.7951883,-122.4115028
378,Nevada,St,94110,"378 Nevada St, San Francisco, CA 94110, USA",37.737227,-122.411786
2154,Larkin,St,94109,"2154 Larkin St, San Francisco, CA 94109, USA",37.7978244,-122.4205164
117,Molimo,Dr,94127,"117 Molimo Dr, San Francisco, CA 94127, USA",37.737157,-122.448203
101,Roanoke,St,94131,"101 Roanoke St, San Francisco, CA 94131, USA",37.736049,-122.430582
2314,38th,Ave,94116,"2314 38th Ave, San Francisco, CA 94116, USA",37.743682,-122.495892
1462,Grant,Ave,94133,"1462 Grant Ave, San Francisco, CA 94133, USA",37.8005056,-122.4075639
50,Bradford,St,94110,"50 Bradford St, San Francisco, CA 94110, USA",37.742563,-122.409573
620,Natoma,St,94103,"620 Natoma St, San Francisco, CA 94103, USA",37.778083,-122.41063
905,Fulton,St,94117,"905 Fulton St, San Francisco, CA 94117, USA",37.7776629,-122.4320612
500,Hearst,Ave,94112,"500 Hearst Ave, San Francisco, CA 94112, USA",37.73082,-122.449042
2730,21st,St,94110,"2730 21st St, San Francisco, CA 94110, USA",37.7576321,-122.4094197
627,Taylor,St,94102,"627 Taylor St, San Francisco, CA 94102, USA",37.788358,-122.412157
280,Clipper,St,94114,"280 Clipper St, San Francisco, CA 94114, USA",37.749304,-122.431128
24,Page,St,94102,"24 Page St, San Francisco, CA 94102, USA",37.77448,-122.421362
41,Sunview,Dr,94131,"41 Sunview Dr, San Francisco, CA 94131, USA",37.747472,-122.446659
2606,18th,Ave,94116,"2606 18th Ave, San Francisco, CA 94116, USA",37.739169,-122.474075
3701,Folsom,St,94110,"3701 Folsom St, San Francisco, CA 94110, USA",37.74019,-122.413124
1995,21st,Ave,,"1995 21st Ave, San Francisco, CA 94116, USA",37.750548,-122.478649
1513,Oakdale,Ave,94124,"1513 Oakdale Ave, San Francisco, CA 94124, USA",37.733609,-122.389133
1337,Alabama,St,94110,"1337 Alabama St, San Francisco, CA 94110, USA",37.750382,-122.410466
124,Saturn,St,94114,"124 Saturn St, San Francisco, CA 94114, USA",37.762832,-122.443387
1114,18th,St,94107,"1114 18th St, San Francisco, CA 94107, USA",37.762729,-122.3939771
546,Ellsworth,St,94110,"546 Ellsworth St, San Francisco, CA 94110, USA",37.736516,-122.414969
1382,Hayes,St,94117,"1382 Hayes St, San Francisco, CA 94117, USA",37.775068,-122.439186
519,Sanchez,St,94114,"519 Sanchez St, San Francisco, CA 94114, USA",37.760781,-122.430204
4521,18th,St,94114,"4521 18th St, San Francisco, CA 94114, USA",37.760309,-122.439877
61,Parnassus,Ave,94117,"61 Parnassus Ave, San Francisco, CA 94117, USA",37.764717,-122.448875
945,Scott,St,94115,"945 Scott St, San Francisco, CA 94115, USA",37.778674,-122.436999
421,Leavenworth,St,94102,"421 Leavenworth St, San Francisco, CA 94102, USA",37.784991,-122.414754
1225,Willard,St,94117,"1225 Willard St, San Francisco, CA 94117, USA",37.765705,-122.454864
2038,18th,Ave,94116,"2038 18th Ave, San Francisco, CA 94116, USA",37.749811,-122.474765
1601,Eucalyptus,Dr,94132,"1601 Eucalyptus Dr, San Francisco, CA 94132, USA",37.730829,-122.48826
744,Church,St,94114,"744 Church St, San Francisco, CA 94114, USA",37.758737,-122.428385
2477,Sutter,St,94115,"2477 Sutter St, San Francisco, CA 94115, USA",37.784869,-122.441138
1465,17th,Ave,94122,"1465 17th Ave, San Francisco, CA 94122, USA",37.7605843,-122.4747818
